evid,station,abs_time,grade,envelope_size,noise_rms,maxamp,snr,practical_noise_lvl,practical_snr
760815-09-M3,geo3,1976-08-15T09:02:47,C,1,0.0010556377237662673,0.004507274832576513,4.3,0.003953289240598679,1.1
760815-09-M3,geo4,1976-08-15T09:02:50,C,1,0.000985030783340335,0.00428098626434803,4.3,0.004027578979730606,1.1
760815-09-N2,geo4,1976-08-15T09:35:03,D,1,0.0012932198587805033,0.004543421324342489,3.5,0.004543421324342489,1.0
760815-09-M1,geo4,1976-08-15T09:36:29,B,1,0.0012076220009475946,0.004656578879803419,3.9,0.0039606946520507336,1.2
760815-09-M1,geo2,1976-08-15T09:36:40,B,1,0.0010786574566736817,0.003275068011134863,3.0,0.003694646991789341,0.9
760815-09-M1,geo1,1976-08-15T09:36:47,B,1,0.001232680631801486,0.004241041839122772,3.4,0.003938465844839811,1.1
760815-09-N1,geo1,1976-08-15T09:40:23,D,1,0.00117005524225533,0.004366836976259947,3.7,0.0040766154415905476,1.1
760815-09-M2,geo1,1976-08-15T09:50:51,B,1,0.000904867600183934,0.003361534094437957,3.7,0.003361534094437957,1.0
760815-09-M2,geo3,1976-08-15T09:50:55,B,1,0.0011170766083523631,0.0038868526462465525,3.5,0.004546710755676031,0.9
760815-09-M2,geo4,1976-08-15T09:51:01,B,1,0.0011553930817171931,0.004543421324342489,3.9,0.003843420883640647,1.2
760815-10-M1,geo2,1976-08-15T10:36:44,A,1,0.0010109676513820887,0.005012077745050192,5.0,0.005012077745050192,1.0
760815-10-M1,geo3,1976-08-15T10:36:49,A,1,0.0011369698913767934,0.005400495138019323,4.7,0.005052725784480572,1.1
760815-10-M1,geo1,1976-08-15T10:36:51,A,1,0.001164694083854556,0.0042355540208518505,3.6,0.0043213884346187115,1.0
760815-10-M1,geo4,1976-08-15T10:37:05,A,1,0.001760808634571731,0.006520656403154135,3.7,0.006520656403154135,1.0
760815-11-N2,geo4,1976-08-15T11:01:25,D,1,0.0013130338629707694,0.00562873063609004,4.3,0.005234242416918278,1.1
760815-11-M1,geo4,1976-08-15T11:30:56,C,1,0.0010178362717851996,0.004665757529437542,4.6,0.004202566109597683,1.1
760815-11-M1,geo1,1976-08-15T11:31:04,C,1,0.0009571847040206194,0.004606082569807768,4.8,0.003504272550344467,1.3
760815-11-M3,geo4,1976-08-15T11:36:22,C,1,0.0011053027119487524,0.004534242674708366,4.1,0.003803918370977044,1.2
760815-11-M3,geo3,1976-08-15T11:36:29,C,1,0.0010914934100583196,0.004663239698857069,4.3,0.0034632401075214148,1.3
760815-11-N1,geo3,1976-08-15T11:45:03,D,1,0.0011449430603533983,0.004536760039627552,4.0,0.004289426375180483,1.1
760815-11-M2,geo2,1976-08-15T11:48:22,B,175,0.0008676368743181229,0.008201519958674908,9.5,0.0036662437487393618,2.2
760815-11-M2,geo1,1976-08-15T11:48:23,B,1,0.0011021156096830964,0.005417742300778627,4.9,0.004348944406956434,1.2
760815-11-M2,geo4,1976-08-15T11:48:38,B,1,0.0017198314890265465,0.006743504200130701,3.9,0.005707267206162214,1.2
760815-12-N2,geo2,1976-08-15T12:12:16,D,1,0.0010073131415992975,0.0039046709425747395,3.9,0.0039046709425747395,1.0
760815-12-M3,geo2,1976-08-15T12:43:13,C,1,0.001076656160876155,0.004262517672032118,4.0,0.003404670860618353,1.3
760815-12-M3,geo3,1976-08-15T12:43:24,C,1,0.0013084087986499071,0.005265694111585617,4.0,0.004537648521363735,1.2
760815-12-M1,geo3,1976-08-15T12:45:43,A,1,0.0011886004358530045,0.0046613155864179134,3.9,0.0046613155864179134,1.0
760815-12-M1,geo4,1976-08-15T12:45:44,A,1,0.0011085717706009746,0.0056586009450256824,5.1,0.00426645390689373,1.3
760815-12-M1,geo2,1976-08-15T12:45:57,A,1,0.001042125397361815,0.0039046709425747395,3.7,0.0039046709425747395,1.0
760815-12-M1,geo1,1976-08-15T12:46:02,A,1,0.0012308378936722875,0.003527481807395816,2.9,0.003949043806642294,0.9
760815-12-M2,geo1,1976-08-15T12:51:33,A,1,0.001108040800318122,0.0034490434918552637,3.1,0.003350956365466118,1.0
